週,台積電,元大證券,鴻海,聯發科
2023-03-26,78,5,6,9
2023-04-02,43,3,4,7
2023-04-09,88,5,5,10
2023-04-16,100,5,5,18
2023-04-23,95,4,5,14
2023-04-30,70,5,4,10
2023-05-07,77,5,5,11
2023-05-14,85,5,11,10
2023-05-21,92,5,10,11
2023-05-28,95,5,8,18
2023-06-04,87,5,3,10
2023-06-11,98,6,4,11
2023-06-18,55,4,3,12
2023-06-25,69,5,4,11
2023-07-02,75,6,4,11
2023-07-09,77,7,5,11
2023-07-16,98,8,16,11
2023-07-23,79,6,19,12
2023-07-30,67,6,13,12
2023-08-06,80,6,14,11
2023-08-13,67,6,17,11
2023-08-20,71,5,11,10
2023-08-27,64,5,19,11
2023-09-03,60,5,12,11
2023-09-10,73,5,10,11
2023-09-17,79,5,11,12
2023-09-24,59,3,9,8
2023-10-01,58,4,9,11
2023-10-08,58,3,10,9
2023-10-15,96,4,15,12
2023-10-22,73,4,26,12
2023-10-29,70,3,29,14
2023-11-05,74,4,18,17
2023-11-12,84,5,21,15
2023-11-19,69,5,16,13
2023-11-26,69,5,13,11
2023-12-03,64,5,11,11
2023-12-10,71,4,12,12
2023-12-17,59,4,13,11
2023-12-24,55,3,12,14
2023-12-31,54,4,10,12
