日期,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
1-3,"1,951,449","511,000","1,440,449",0,0,0,0,0,0,"-3,826,768",0,0,0,"1,109,000","4,935,768","-3,826,768","-2,386,319"
1-4,"590,504","439,000","151,504",0,0,0,"160,000",0,"160,000","-4,177,653","53,000","52,156",844,"1,029,000","5,207,497","-4,178,497","-3,866,149"
1-5,"1,373,361","299,200","1,074,161",0,0,0,0,0,0,"-4,199,351","44,000","425,143","-381,143","791,000","4,609,208","-3,818,208","-3,125,190"
1-6,"3,095,858","264,000","2,831,858",0,0,0,0,0,0,"2,078,000","30,000",0,"30,000","2,085,000","37,000","2,048,000","4,909,858"
1-9,"15,402,130","863,000","14,539,130",0,0,0,"360,000",0,"360,000","5,042,794","27,000","37,000","-10,000","5,072,886","20,092","5,052,794","19,941,924"
1-10,"5,920,507","523,999","5,396,508",0,0,0,0,0,0,"2,644,715","26,000","50,000","-24,000","3,955,365","1,286,650","2,668,715","8,041,223"
1-11,"609,315","106,400","502,915",0,0,0,"190,000",0,"190,000","1,885,228","7,000","10,000","-3,000","2,995,000","1,106,772","1,888,228","2,578,143"
1-12,"362,413","381,200","-18,787",0,0,0,0,0,0,"-1,990,125",0,"10,000","-10,000","261,000","2,241,125","-1,980,125","-2,008,912"
1-13,"2,880,162","1,604,000","1,276,162",0,0,0,0,0,0,"-855,554","13,000","30,000","-17,000","1,087,000","1,925,554","-838,554","420,608"
1-16,"2,354,494","4,155,000","-1,800,506",0,0,0,"120,000",0,"120,000","-2,192,826","10,000","10,000",0,"379,000","2,571,826","-2,192,826","-3,873,332"
1-17,"431,000","901,600","-470,600",0,0,0,"410,000",0,"410,000","7,013","10,000",0,"10,000","20,000","22,987","-2,987","-53,587"
1-30,"8,536,042","861,500","7,674,542",0,0,0,"190,000",0,"190,000","2,143,569","10,000",0,"10,000","2,532,000","398,431","2,133,569","10,008,111"
1-31,"1,817,814","3,971,000","-2,153,186",0,0,0,"480,000",0,"480,000","3,371,256","3,000",0,"3,000","4,790,000","1,421,744","3,368,256","1,698,070"
2-1,"1,289,224","3,741,000","-2,451,776",0,0,0,0,0,0,"537,913","9,000",0,"9,000","942,000","413,087","528,913","-1,913,863"
2-2,"3,683,109","2,562,190","1,120,919",0,0,0,0,0,0,"4,351,006",0,0,0,"4,867,000","515,994","4,351,006","5,471,925"
