交易日期,收盤價,漲跌價,漲跌幅,至2023/12/29累積漲跌幅
'23/12/29,37.4,0.07,0.19%,0.19%
'23/12/28,37.33,-0.09,-0.24%,-0.05%
'23/12/27,37.42,0.42,1.14%,1.08%
'23/12/26,37,0.35,0.95%,2.05%
'23/12/25,36.65,0.28,0.77%,2.83%
'23/12/22,36.37,0.04,0.11%,2.95%
'23/12/21,36.33,-0.24,-0.66%,2.27%
'23/12/20,36.57,0.47,1.30%,3.60%
'23/12/19,36.1,-0.28,-0.77%,2.80%
'23/12/18,36.38,0.02,0.06%,2.86%
'23/12/15,36.36,-0.19,-0.52%,2.33%
'23/12/14,36.55,0.49,1.36%,3.72%
'23/12/13,36.06,0.48,1.35%,5.12%
'23/12/12,35.58,0.11,0.31%,5.44%
'23/12/11,35.47,0.05,0.14%,5.59%
'23/12/08,35.42,0.17,0.48%,6.10%
'23/12/07,35.25,-0.06,-0.17%,5.92%
'23/12/06,35.31,0.26,0.74%,6.70%
'23/12/05,35.05,-0.14,-0.40%,6.28%
'23/12/04,35.19,0.06,0.17%,6.46%
'23/12/01,35.13,0.05,0.14%,6.61%
'23/11/30,35.08,-0.01,-0.03%,6.58%
'23/11/29,35.09,0.19,0.54%,7.16%
'23/11/28,34.9,0.15,0.43%,7.63%
'23/11/27,34.75,-0.19,-0.54%,7.04%
'23/11/24,34.94,-0.03,-0.09%,6.95%
'23/11/23,34.97,-0.08,-0.23%,6.70%
'23/11/22,35.05,-0.25,-0.71%,5.95%
'23/11/21,35.3,0.4,1.15%,7.16%
'23/11/20,34.9,0.08,0.23%,7.41%
'23/11/17,34.82,0.05,0.14%,7.56%
'23/11/16,34.77,-0.06,-0.17%,7.38%
'23/11/15,34.83,0.15,0.43%,7.84%
'23/11/14,34.68,0.14,0.41%,8.28%
'23/11/13,34.54,0.11,0.32%,8.63%
'23/11/10,34.43,-0.12,-0.35%,8.25%
'23/11/09,34.55,0.01,0.03%,8.28%
'23/11/08,34.54,0.31,0.91%,9.26%
'23/11/07,34.23,-0.01,-0.03%,9.23%
'23/11/06,34.24,0.55,1.63%,11%
'23/11/03,33.69,0.17,0.51%,11.60%
'23/11/02,33.52,0.63,1.92%,13.70%
'23/11/01,32.89,0.2,0.61%,14.40%
'23/10/31,32.69,-0.54,-1.63%,12.50%
'23/10/30,33.23,0.1,0.30%,12.90%
'23/10/27,33.13,0.03,0.09%,13%
'23/10/26,33.1,-0.52,-1.55%,11.20%
'23/10/25,33.62,0.15,0.45%,11.70%
'23/10/24,33.47,0.39,1.18%,13.10%
'23/10/23,33.08,-0.32,-0.96%,12%
'23/10/20,33.4,-0.25,-0.74%,11.10%
'23/10/19,33.65,-0.05,-0.15%,11%
