類別：所有類別

天,0056: (全球)
2023-10-01,19
2023-10-02,100
2023-10-03,76
2023-10-04,63
2023-10-05,58
2023-10-06,58
2023-10-07,22
2023-10-08,17
2023-10-09,17
2023-10-10,19
2023-10-11,69
2023-10-12,57
2023-10-13,71
2023-10-14,25
2023-10-15,23
2023-10-16,71
2023-10-17,87
2023-10-18,96
2023-10-19,93
2023-10-20,81
2023-10-21,25
2023-10-22,20
2023-10-23,79
2023-10-24,69
2023-10-25,68
2023-10-26,66
2023-10-27,62
2023-10-28,17
2023-10-29,17
2023-10-30,59
2023-10-31,66
2023-11-01,67
2023-11-02,65
2023-11-03,58
2023-11-04,17
2023-11-05,16
2023-11-06,67
2023-11-07,61
2023-11-08,63
2023-11-09,57
2023-11-10,61
2023-11-11,22
2023-11-12,19
2023-11-13,63
2023-11-14,67
2023-11-15,72
2023-11-16,61
2023-11-17,63
2023-11-18,23
2023-11-19,17
2023-11-20,62
2023-11-21,59
2023-11-22,58
2023-11-23,51
2023-11-24,55
2023-11-25,17
2023-11-26,18
2023-11-27,52
2023-11-28,47
2023-11-29,55
2023-11-30,51
2023-12-01,62
2023-12-02,21
2023-12-03,21
2023-12-04,57
2023-12-05,49
2023-12-06,57
2023-12-07,53
2023-12-08,41
2023-12-09,16
2023-12-10,19
2023-12-11,68
2023-12-12,60
2023-12-13,69
2023-12-14,74
2023-12-15,77
2023-12-16,20
2023-12-17,22
2023-12-18,70
2023-12-19,54
2023-12-20,64
2023-12-21,66
2023-12-22,55
2023-12-23,19
2023-12-24,16
2023-12-25,79
2023-12-26,71
2023-12-27,84
2023-12-28,74
2023-12-29,70
2023-12-30,23
2023-12-31,20
