類別：所有類別

週,0056: (台灣),台灣積體電路製造: (台灣),元大證券: (台灣),鴻海科技集團: (台灣),聯發科技: (台灣)
2023-03-26,14,78,5,6,9
2023-04-02,9,43,3,4,7
2023-04-09,16,88,5,5,10
2023-04-16,14,100,5,5,18
2023-04-23,15,95,4,5,14
2023-04-30,12,70,5,4,10
2023-05-07,13,77,5,5,11
2023-05-14,14,85,5,11,10
2023-05-21,20,92,5,10,11
2023-05-28,25,95,5,8,18
2023-06-04,21,87,5,3,10
2023-06-11,25,98,6,4,11
2023-06-18,15,55,4,3,12
2023-06-25,20,69,5,4,11
2023-07-02,34,75,6,4,11
2023-07-09,29,77,7,5,11
2023-07-16,33,98,8,16,11
2023-07-23,27,79,6,19,12
2023-07-30,24,67,6,13,12
2023-08-06,25,80,6,14,11
2023-08-13,23,67,6,17,11
2023-08-20,19,71,5,11,10
2023-08-27,17,64,5,19,11
2023-09-03,17,60,5,12,11
2023-09-10,18,73,5,10,11
2023-09-17,18,79,5,11,12
2023-09-24,14,59,3,9,8
2023-10-01,24,58,4,9,11
2023-10-08,16,58,3,10,9
2023-10-15,30,96,4,15,12
2023-10-22,23,73,4,26,12
2023-10-29,21,70,3,29,14
2023-11-05,22,74,4,18,17
2023-11-12,23,84,5,21,15
2023-11-19,20,69,5,16,13
2023-11-26,19,69,5,13,11
2023-12-03,18,64,5,11,11
2023-12-10,24,71,4,12,12
2023-12-17,21,59,4,13,11
2023-12-24,24,55,3,12,14
2023-12-31,25,54,4,10,12
